"gene_id","SRR7819740","SRR7819751","SRR7819759","SRR7819764","SRR7819779","SRR7819802","SRR7819811","SRR7819835","SRR7819851","SRR7819862","SRR7819863","SRR7819866","SRR7819867","SRR7819869","SRR7819870","SRR7819871","SRR7819875","SRR7819885","SRR7819891","SRR7819893"
"MIR196B",4,0,0,5,0,3,4,6,0,1,0,2,0,0,0,1,0,3,1,4
"HOXA10",11,24,6,82,14,110,35,108,3,11,1,44,2,4,11,18,0,15,6,20
"PLEKHA8",200,106,179,185,168,112,115,106,104,137,149,86,88,133,129,131,213,239,166,152
"AQP1",295,1213,1731,2346,305,6967,5160,363,568,1740,1251,1401,161,431,1649,4404,656,1215,269,1778
"TES",4046,730,3624,2807,1635,1367,1016,560,417,4298,2010,1777,1813,2121,2354,3054,3515,2413,2704,2813
"CAV2",937,862,1210,1211,569,3686,1264,1537,356,4007,2028,1050,535,2091,1148,1376,1522,2233,575,2010
"CAV1",531,883,934,1419,501,4389,2924,2153,235,1642,1602,940,85,555,1231,1120,1023,1203,167,1461
"MET",732,644,582,1981,540,2459,406,1791,84,605,834,287,193,1628,1327,930,2261,1470,174,983
"CAPZA2",2376,1535,2396,1610,1766,3904,1701,2778,1446,6881,3454,2289,1002,3780,2334,2755,3054,3182,1827,3412
"CFTR",212,32,128,230,128,12,5,6,62,1195,177,38,275,169,234,837,783,192,14,1123
"SLC2A1",969,942,1062,1067,1729,235,314,105,3686,1866,4053,841,1799,2985,1539,2039,4662,4314,937,1602
"GUCA2A",12,9,6,11,9,0,2,5,5,11,2,6,8,0,1,2,2,2,8,1
"MIR8839",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"EDN2",22,62,6,2,177,1,0,0,43,9,27,25,18,15,30,30,14,7,1,18
"MIR30C-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR30E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL9A2",1491,1176,281,681,999,207,361,1224,7606,1497,2467,678,1784,1770,801,1563,598,2576,122,2047
"PPT1",2255,1393,1181,1397,1544,2146,3458,2050,1858,3814,3535,1366,1273,1826,1993,2125,1742,2205,988,2686
"MYCBP",209,105,130,123,147,74,91,110,167,375,262,215,186,279,159,159,206,169,105,186
"RSPO1",366,42,332,463,183,9,27,32,15,398,42,137,239,369,128,67,46,102,595,76
"SMIM12",648,914,445,623,926,596,1198,1051,1356,1145,1285,1026,1062,1133,1031,1156,534,1056,695,1142
"C22H16orf87",193,83,125,102,132,137,132,135,75,248,195,123,212,161,102,123,76,219,137,212
"MIR761",19,6,18,10,6,11,15,8,3,7,9,3,2,7,2,6,3,8,9,9
"CYP4X1",0,2,2,0,2,2,0,0,0,0,0,0,0,3,3,0,0,3,0,2
